GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",81250,23097
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",73148,17469
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",140116,61690
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",115076,29444
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",104806,11699
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",75703,38877
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",69167,43502
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",130595,21463
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",43609,33175
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",104103,15578
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",102089,16886
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",102470,32422
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",153750,114489
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",109971,8843
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",39500,49178
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",29191,8315
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",26827,10216
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",85179,73327
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",22760,11045
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",25750,8499
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",13750,5671
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",110057,71425
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",53796,34841
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",83542,7573
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",101932,26294
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",108321,27171
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",120116,26509
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",86495,40028
1500000US060750110002,060750110002,"Block Group 2, Census Tract 110, San Francisco County, California",94393,15896
1500000US060750110003,060750110003,"Block Group 3, Census Tract 110, San Francisco County, California",101083,37712
1500000US060750111001,060750111001,"Block Group 1, Census Tract 111, San Francisco County, California",80963,14367
1500000US060750111002,060750111002,"Block Group 2, Census Tract 111, San Francisco County, California",61300,15176
1500000US060750111003,060750111003,"Block Group 3, Census Tract 111, San Francisco County, California",37941,21289
1500000US060750112001,060750112001,"Block Group 1, Census Tract 112, San Francisco County, California",63802,29206
1500000US060750112002,060750112002,"Block Group 2, Census Tract 112, San Francisco County, California",73417,62776
1500000US060750112003,060750112003,"Block Group 3, Census Tract 112, San Francisco County, California",96458,100958
1500000US060750113001,060750113001,"Block Group 1, Census Tract 113, San Francisco County, California",28625,18587
1500000US060750113002,060750113002,"Block Group 2, Census Tract 113, San Francisco County, California",25665,11843
1500000US060750117001,060750117001,"Block Group 1, Census Tract 117, San Francisco County, California",73333,49603
1500000US060750117002,060750117002,"Block Group 2, Census Tract 117, San Francisco County, California",33542,17922
1500000US060750118001,060750118001,"Block Group 1, Census Tract 118, San Francisco County, California",20547,6023
1500000US060750119011,060750119011,"Block Group 1, Census Tract 119.01, San Francisco County, California",62841,25984
1500000US060750119012,060750119012,"Block Group 2, Census Tract 119.01, San Francisco County, California",56071,11092
1500000US060750119021,060750119021,"Block Group 1, Census Tract 119.02, San Francisco County, California",56844,15104
1500000US060750119022,060750119022,"Block Group 2, Census Tract 119.02, San Francisco County, California",87875,34329
1500000US060750120001,060750120001,"Block Group 1, Census Tract 120, San Francisco County, California",36875,7068
1500000US060750120002,060750120002,"Block Group 2, Census Tract 120, San Francisco County, California",35572,5678
1500000US060750121001,060750121001,"Block Group 1, Census Tract 121, San Francisco County, California",46837,7028
1500000US060750121002,060750121002,"Block Group 2, Census Tract 121, San Francisco County, California",51167,37467
1500000US060750122011,060750122011,"Block Group 1, Census Tract 122.01, San Francisco County, California",48365,17008
1500000US060750122012,060750122012,"Block Group 2, Census Tract 122.01, San Francisco County, California",28672,6177
1500000US060750122021,060750122021,"Block Group 1, Census Tract 122.02, San Francisco County, California",29226,6323
1500000US060750123011,060750123011,"Block Group 1, Census Tract 123.01, San Francisco County, California",12263,1811
1500000US060750123012,060750123012,"Block Group 2, Census Tract 123.01, San Francisco County, California",15875,11217
1500000US060750123021,060750123021,"Block Group 1, Census Tract 123.02, San Francisco County, California",53352,22758
1500000US060750123022,060750123022,"Block Group 2, Census Tract 123.02, San Francisco County, California",17275,4300
1500000US060750124011,060750124011,"Block Group 1, Census Tract 124.01, San Francisco County, California",19693,4238
1500000US060750124012,060750124012,"Block Group 2, Census Tract 124.01, San Francisco County, California",20356,3621
1500000US060750124021,060750124021,"Block Group 1, Census Tract 124.02, San Francisco County, California",27679,14034
1500000US060750124022,060750124022,"Block Group 2, Census Tract 124.02, San Francisco County, California",58393,41550
1500000US060750124023,060750124023,"Block Group 3, Census Tract 124.02, San Francisco County, California",18387,9718
1500000US060750125011,060750125011,"Block Group 1, Census Tract 125.01, San Francisco County, California",17693,4512
1500000US060750125012,060750125012,"Block Group 2, Census Tract 125.01, San Francisco County, California",11405,1019
1500000US060750125021,060750125021,"Block Group 1, Census Tract 125.02, San Francisco County, California",11785,1949
1500000US060750125022,060750125022,"Block Group 2, Census Tract 125.02, San Francisco County, California",14075,7384
1500000US060750126011,060750126011,"Block Group 1, Census Tract 126.01, San Francisco County, California",97629,12437
1500000US060750126021,060750126021,"Block Group 1, Census Tract 126.02, San Francisco County, California",137297,30741
1500000US060750126022,060750126022,"Block Group 2, Census Tract 126.02, San Francisco County, California",102014,31863
1500000US060750127001,060750127001,"Block Group 1, Census Tract 127, San Francisco County, California",145104,37481
1500000US060750127002,060750127002,"Block Group 2, Census Tract 127, San Francisco County, California",98292,8135
1500000US060750127003,060750127003,"Block Group 3, Census Tract 127, San Francisco County, California",130673,44094
1500000US060750128001,060750128001,"Block Group 1, Census Tract 128, San Francisco County, California",126250,39073
1500000US060750128002,060750128002,"Block Group 2, Census Tract 128, San Francisco County, California",212625,100826
1500000US060750128003,060750128003,"Block Group 3, Census Tract 128, San Francisco County, California",126750,29465
1500000US060750128004,060750128004,"Block Group 4, Census Tract 128, San Francisco County, California",75694,39926
1500000US060750129011,060750129011,"Block Group 1, Census Tract 129.01, San Francisco County, California",113125,13565
1500000US060750129012,060750129012,"Block Group 2, Census Tract 129.01, San Francisco County, California",122176,34181
1500000US060750129021,060750129021,"Block Group 1, Census Tract 129.02, San Francisco County, California",83839,44823
1500000US060750129022,060750129022,"Block Group 2, Census Tract 129.02, San Francisco County, California",117656,52648
1500000US060750129023,060750129023,"Block Group 3, Census Tract 129.02, San Francisco County, California",116331,30068
1500000US060750130001,060750130001,"Block Group 1, Census Tract 130, San Francisco County, California",105625,28081
1500000US060750130002,060750130002,"Block Group 2, Census Tract 130, San Francisco County, California",134188,53342
1500000US060750130003,060750130003,"Block Group 3, Census Tract 130, San Francisco County, California",153019,32542
1500000US060750130004,060750130004,"Block Group 4, Census Tract 130, San Francisco County, California",112054,73966
1500000US060750131011,060750131011,"Block Group 1, Census Tract 131.01, San Francisco County, California",98984,43985
1500000US060750131012,060750131012,"Block Group 2, Census Tract 131.01, San Francisco County, California",158732,27360
1500000US060750131021,060750131021,"Block Group 1, Census Tract 131.02, San Francisco County, California",86694,21743
1500000US060750131022,060750131022,"Block Group 2, Census Tract 131.02, San Francisco County, California",139777,42284
1500000US060750132001,060750132001,"Block Group 1, Census Tract 132, San Francisco County, California",126273,13105
1500000US060750132002,060750132002,"Block Group 2, Census Tract 132, San Francisco County, California",148550,14415
1500000US060750132003,060750132003,"Block Group 3, Census Tract 132, San Francisco County, California",179297,73131
1500000US060750133001,060750133001,"Block Group 1, Census Tract 133, San Francisco County, California","250,000+",***
1500000US060750133002,060750133002,"Block Group 2, Census Tract 133, San Francisco County, California",134412,26295
1500000US060750133003,060750133003,"Block Group 3, Census Tract 133, San Francisco County, California",70714,26835
1500000US060750133004,060750133004,"Block Group 4, Census Tract 133, San Francisco County, California",181375,163250
1500000US060750133005,060750133005,"Block Group 5, Census Tract 133, San Francisco County, California",153056,117642
1500000US060750134001,060750134001,"Block Group 1, Census Tract 134, San Francisco County, California",160446,52432
1500000US060750134002,060750134002,"Block Group 2, Census Tract 134, San Francisco County, California",104188,8152
1500000US060750134003,060750134003,"Block Group 3, Census Tract 134, San Francisco County, California",133810,28017
1500000US060750135001,060750135001,"Block Group 1, Census Tract 135, San Francisco County, California",123625,19879
1500000US060750135002,060750135002,"Block Group 2, Census Tract 135, San Francisco County, California",80809,45046
1500000US060750151001,060750151001,"Block Group 1, Census Tract 151, San Francisco County, California",78125,20849
1500000US060750151002,060750151002,"Block Group 2, Census Tract 151, San Francisco County, California",101964,24851
1500000US060750152001,060750152001,"Block Group 1, Census Tract 152, San Francisco County, California",58319,18625
1500000US060750152002,060750152002,"Block Group 2, Census Tract 152, San Francisco County, California",62404,51310
1500000US060750152003,060750152003,"Block Group 3, Census Tract 152, San Francisco County, California",141455,24051
1500000US060750153001,060750153001,"Block Group 1, Census Tract 153, San Francisco County, California",77454,36391
1500000US060750153002,060750153002,"Block Group 2, Census Tract 153, San Francisco County, California",92750,20791
1500000US060750154001,060750154001,"Block Group 1, Census Tract 154, San Francisco County, California",153948,62651
1500000US060750154002,060750154002,"Block Group 2, Census Tract 154, San Francisco County, California",74543,55857
1500000US060750154003,060750154003,"Block Group 3, Census Tract 154, San Francisco County, California",110066,26780
1500000US060750154004,060750154004,"Block Group 4, Census Tract 154, San Francisco County, California",115721,73334
1500000US060750154005,060750154005,"Block Group 5, Census Tract 154, San Francisco County, California",76250,47095
1500000US060750155001,060750155001,"Block Group 1, Census Tract 155, San Francisco County, California",60513,25457
1500000US060750155002,060750155002,"Block Group 2, Census Tract 155, San Francisco County, California",47857,41240
1500000US060750155003,060750155003,"Block Group 3, Census Tract 155, San Francisco County, California",50917,26041
1500000US060750156001,060750156001,"Block Group 1, Census Tract 156, San Francisco County, California",89000,8078
1500000US060750156002,060750156002,"Block Group 2, Census Tract 156, San Francisco County, California",85553,12220
1500000US060750156003,060750156003,"Block Group 3, Census Tract 156, San Francisco County, California",66806,23166
1500000US060750157001,060750157001,"Block Group 1, Census Tract 157, San Francisco County, California",80461,41646
1500000US060750157002,060750157002,"Block Group 2, Census Tract 157, San Francisco County, California",96786,14726
1500000US060750157003,060750157003,"Block Group 3, Census Tract 157, San Francisco County, California",89087,24131
1500000US060750157004,060750157004,"Block Group 4, Census Tract 157, San Francisco County, California",70658,6220
1500000US060750158011,060750158011,"Block Group 1, Census Tract 158.01, San Francisco County, California",39844,79888
1500000US060750158012,060750158012,"Block Group 2, Census Tract 158.01, San Francisco County, California",73108,20286
1500000US060750158013,060750158013,"Block Group 3, Census Tract 158.01, San Francisco County, California",83625,72184
1500000US060750158021,060750158021,"Block Group 1, Census Tract 158.02, San Francisco County, California",91979,12242
1500000US060750158022,060750158022,"Block Group 2, Census Tract 158.02, San Francisco County, California",71058,20577
1500000US060750159001,060750159001,"Block Group 1, Census Tract 159, San Francisco County, California",44536,13442
1500000US060750159002,060750159002,"Block Group 2, Census Tract 159, San Francisco County, California",31454,9549
1500000US060750160001,060750160001,"Block Group 1, Census Tract 160, San Francisco County, California",59107,14570
1500000US060750161001,060750161001,"Block Group 1, Census Tract 161, San Francisco County, California",32200,18124
1500000US060750161002,060750161002,"Block Group 2, Census Tract 161, San Francisco County, California",24684,9954
1500000US060750161003,060750161003,"Block Group 3, Census Tract 161, San Francisco County, California",12293,4764
1500000US060750161004,060750161004,"Block Group 4, Census Tract 161, San Francisco County, California",14900,4144
1500000US060750162001,060750162001,"Block Group 1, Census Tract 162, San Francisco County, California",61635,26338
1500000US060750162002,060750162002,"Block Group 2, Census Tract 162, San Francisco County, California",53988,26251
1500000US060750162003,060750162003,"Block Group 3, Census Tract 162, San Francisco County, California",59091,23204
1500000US060750163001,060750163001,"Block Group 1, Census Tract 163, San Francisco County, California",26618,11052
1500000US060750163002,060750163002,"Block Group 2, Census Tract 163, San Francisco County, California",86167,31948
1500000US060750163003,060750163003,"Block Group 3, Census Tract 163, San Francisco County, California",106161,60397
1500000US060750164001,060750164001,"Block Group 1, Census Tract 164, San Francisco County, California",89500,21101
1500000US060750164002,060750164002,"Block Group 2, Census Tract 164, San Francisco County, California",79425,20163
1500000US060750165001,060750165001,"Block Group 1, Census Tract 165, San Francisco County, California",58563,36636
1500000US060750165002,060750165002,"Block Group 2, Census Tract 165, San Francisco County, California",90035,17803
1500000US060750165003,060750165003,"Block Group 3, Census Tract 165, San Francisco County, California",93621,33043
1500000US060750165004,060750165004,"Block Group 4, Census Tract 165, San Francisco County, California",86081,22703
